EventID,LocationID,NPeople,NLanterns,NCars,Comments,autonumber,sum_clams,sum_diggers,sum_people,sum_lanterns,ppl_per_car,n_interviews,CPUE,diggers_people,diggers_lanterns,beach,date,season,CF,CalcPeople,EstCorEffort,TotHarvest
1509.0,41100,182.0,,,,8578,677.0,48.0,48.0,0.0,,24.0,14.104166666666666,1.0,,Mocrocks,2018-04-19,2017-18,0.7107333540916443,182.0,256.073531588518,3611.703768446389
1509.0,41200,208.0,,,,8579,677.0,48.0,48.0,0.0,,24.0,14.104166666666666,1.0,,Mocrocks,2018-04-19,2017-18,0.7107333540916443,208.0,292.65546467259196,4127.661449653016
1509.0,41300,999.0,,,,8580,677.0,48.0,48.0,0.0,,24.0,14.104166666666666,1.0,,Mocrocks,2018-04-19,2017-18,0.7107333540916443,999.0,1405.5904288842278,19824.681674054627
1509.0,41400,802.0,,,,8581,677.0,48.0,48.0,0.0,,24.0,14.104166666666666,1.0,,Mocrocks,2018-04-19,2017-18,0.7107333540916443,802.0,1128.4119359010517,15915.310012604416
1509.0,42500,388.0,,,,8582,677.0,48.0,48.0,0.0,,24.0,14.104166666666666,1.0,,Mocrocks,2018-04-19,2017-18,0.7107333540916443,388.0,545.9150014084888,7699.676165698894
1509.0,42600,1008.0,,,,8583,677.0,48.0,48.0,0.0,,24.0,14.104166666666666,1.0,,Mocrocks,2018-04-19,2017-18,0.7107333540916443,1008.0,1418.2534057210225,20003.28240985692
1510.0,31002,25.0,,,,8584,1210.0,120.0,129.0,0.0,,35.0,10.083333333333334,0.9302325581395349,,Copalis,2018-04-21,2017-18,0.531279981136322,25.0,43.77317945191148,441.3795594734408
1510.0,31005,1724.0,,,,8585,1210.0,120.0,129.0,0.0,,35.0,10.083333333333334,0.9302325581395349,,Copalis,2018-04-21,2017-18,0.531279981136322,1724.0,3018.598455003816,30437.53442128848
1510.0,32007,978.0,,,,8586,1210.0,120.0,129.0,0.0,,35.0,10.083333333333334,0.9302325581395349,,Copalis,2018-04-21,2017-18,0.531279981136322,978.0,1712.406780158777,17266.768366601005
1510.0,32009,848.0,,,,8587,1210.0,120.0,129.0,0.0,,35.0,10.083333333333334,0.9302325581395349,,Copalis,2018-04-21,2017-18,0.531279981136322,848.0,1484.7862470088376,14971.594657339114
1510.0,33012,1760.0,,,,8588,1210.0,120.0,129.0,0.0,,35.0,10.083333333333334,0.9302325581395349,,Copalis,2018-04-21,2017-18,0.531279981136322,1760.0,3081.6318334145685,31073.120986930233
1510.0,33013,44.0,,,,8589,1210.0,120.0,129.0,0.0,,35.0,10.083333333333334,0.9302325581395349,,Copalis,2018-04-21,2017-18,0.531279981136322,44.0,77.04079583536422,776.828024673256
1511.0,41100,289.0,,,,8590,866.0,59.0,61.0,0.0,,28.0,14.677966101694915,0.9672131147540983,,Mocrocks,2018-04-21,2017-18,0.6881374716758728,289.0,406.20457636638685,5962.25700225917
1511.0,41200,515.0,,,,8591,866.0,59.0,61.0,0.0,,28.0,14.677966101694915,0.9672131147540983,,Mocrocks,2018-04-21,2017-18,0.6881374716758728,515.0,723.8593661892361,10624.783239319973
1511.0,41300,792.0,,,,8592,866.0,59.0,61.0,0.0,,28.0,14.677966101694915,0.9672131147540983,,Mocrocks,2018-04-21,2017-18,0.6881374716758728,792.0,1113.1973165473298,16339.47247677945
1511.0,41400,900.0,,,,8593,866.0,59.0,61.0,0.0,,28.0,14.677966101694915,0.9672131147540983,,Mocrocks,2018-04-21,2017-18,0.6881374716758728,900.0,1264.9969506219659,18567.58235997665
1511.0,42500,328.0,,,,8594,866.0,59.0,61.0,0.0,,28.0,14.677966101694915,0.9672131147540983,,Mocrocks,2018-04-21,2017-18,0.6881374716758728,328.0,461.0211108933387,6766.852237858157
1511.0,42600,1245.0,,,,8595,866.0,59.0,61.0,0.0,,28.0,14.677966101694915,0.9672131147540983,,Mocrocks,2018-04-21,2017-18,0.6881374716758728,1245.0,1749.912448360386,25685.1555979677
1512.0,41100,275.0,,,,8596,1820.0,127.0,127.0,0.0,,48.0,14.330708661417322,1.0,,Mocrocks,2018-04-20,2017-18,0.7065250277519226,275.0,389.2289575006519,5577.926792529027
1512.0,41200,455.0,,,,8597,1820.0,127.0,127.0,0.0,,48.0,14.330708661417322,1.0,,Mocrocks,2018-04-20,2017-18,0.7065250277519226,455.0,643.9970024101696,9228.93342036621
1512.0,41300,1203.0,,,,8598,1820.0,127.0,127.0,0.0,,48.0,14.330708661417322,1.0,,Mocrocks,2018-04-20,2017-18,0.7065250277519226,1203.0,1702.6997668119427,24400.89429604516
1512.0,41400,1199.0,,,,8599,1820.0,127.0,127.0,0.0,,48.0,14.330708661417322,1.0,,Mocrocks,2018-04-20,2017-18,0.7065250277519226,1199.0,1697.0382547028423,24319.760815426558
1512.0,42500,354.0,,,,8600,1820.0,127.0,127.0,0.0,,48.0,14.330708661417322,1.0,,Mocrocks,2018-04-20,2017-18,0.7065250277519226,354.0,501.04382165538465,7180.313034746457
1512.0,42600,1374.0,,,,8601,1820.0,127.0,127.0,0.0,,48.0,14.330708661417322,1.0,,Mocrocks,2018-04-20,2017-18,0.7065250277519226,1374.0,1944.7294094759845,27869.350592490486
1513.0,41100,419.0,,,,8602,1218.0,99.0,108.0,0.0,,37.0,12.303030303030303,0.9166666666666666,,Mocrocks,2018-04-22,2017-18,0.7003874778747559,419.0,548.3869221916837,6746.820921509805
1513.0,41200,551.0,,,,8603,1218.0,99.0,108.0,0.0,,37.0,12.303030303030303,0.9166666666666666,,Mocrocks,2018-04-22,2017-18,0.7003874778747559,551.0,721.1484346721186,8872.311044753944
